"uv_GPS_Merge_val_ID","Collar_ID","Object_ID","PubName","GMT_date","LMT_date","Longitude","Latitude","Height","Locale_N","Locale_E","Locale_H","DOP","Nav","Sats_used","Validated","Main","Bkup","Temp","Valid_pos","Sex"
179770,"02903","W0411","Kassika (2903)",1-8-2007 0:00:26,1-8-2007 1:00:26,15.02,61.59,374.96,6831398.33,1458465.66,343.03,3.80,"3D",5,"Yes",3.60,3.64,16.00,2,"F"
179771,"02903","W0411","Kassika (2903)",1-8-2007 0:30:54,1-8-2007 1:30:54,15.02,61.59,380.21,6831394.82,1458474.49,348.29,2.00,"3D",6,"Yes",3.60,3.64,16.00,2,"F"
179772,"02903","W0411","Kassika (2903)",1-8-2007 1:00:22,1-8-2007 2:00:22,15.02,61.59,355.56,6831398.55,1458457.81,323.63,4.20,"3D",5,"Yes",3.60,3.64,17.00,2,"F"
179773,"02903","W0411","Kassika (2903)",1-8-2007 1:30:15,1-8-2007 2:30:15,15.02,61.59,364.52,6831388.17,1458468.62,332.60,3.20,"3D",5,"Yes",3.62,3.64,20.00,2,"F"
179774,"02903","W0411","Kassika (2903)",1-8-2007 2:00:57,1-8-2007 3:00:57,15.02,61.59,386.32,6831429.39,1458506.20,354.40,3.00,"3D",5,"Yes",3.58,3.64,16.00,2,"F"
179775,"02903","W0411","Kassika (2903)",1-8-2007 2:31:32,1-8-2007 3:31:32,15.02,61.59,372.55,6831444.71,1458475.43,340.62,2.20,"3D",5,"Yes",3.56,3.64,17.00,2,"F"
179776,"02903","W0411","Kassika (2903)",1-8-2007 3:01:05,1-8-2007 4:01:05,15.02,61.59,375.20,6831219.09,1458824.96,343.29,3.20,"3D",5,"Yes",3.56,3.64,17.00,2,"F"
179777,"02903","W0411","Kassika (2903)",1-8-2007 3:31:39,1-8-2007 4:31:39,15.02,61.59,388.19,6831232.13,1458538.91,356.27,2.60,"3D",5,"Yes",3.56,3.64,17.00,2,"F"
179778,"02903","W0411","Kassika (2903)",1-8-2007 4:01:30,1-8-2007 5:01:30,15.02,61.59,389.13,6831231.57,1458616.53,357.21,2.20,"2D",3,"No",3.56,3.64,17.00,2,"F"
179779,"02903","W0411","Kassika (2903)",1-8-2007 4:31:19,1-8-2007 5:31:19,15.02,61.59,388.33,6831150.84,1458460.52,356.41,1.80,"2D",3,"No",3.56,3.64,16.00,2,"F"
179780,"02903","W0411","Kassika (2903)",1-8-2007 5:01:18,1-8-2007 6:01:18,15.02,61.59,385.34,6831220.39,1458556.09,353.42,4.00,"3D",5,"Yes",3.56,3.64,18.00,2,"F"
179781,"02903","W0411","Kassika (2903)",1-8-2007 5:31:09,1-8-2007 6:31:09,15.02,61.59,384.21,6831239.40,1458546.42,352.29,2.20,"3D",5,"Yes",3.56,3.64,18.00,2,"F"
179782,"02903","W0411","Kassika (2903)",1-8-2007 6:01:22,1-8-2007 7:01:22,15.02,61.59,382.31,6831221.95,1458542.33,350.39,4.00,"3D",6,"Yes",3.56,3.64,19.00,2,"F"
179783,"02903","W0411","Kassika (2903)",1-8-2007 6:30:43,1-8-2007 7:30:43,15.02,61.59,367.08,6831222.77,1458543.44,335.16,3.80,"3D",5,"Yes",3.58,3.64,18.00,2,"F"
179784,"02903","W0411","Kassika (2903)",1-8-2007 7:00:46,1-8-2007 8:00:46,15.02,61.59,367.33,6831226.51,1458543.30,335.41,3.00,"3D",5,"Yes",3.60,3.64,18.00,2,"F"
179785,"02903","W0411","Kassika (2903)",1-8-2007 7:30:58,1-8-2007 8:30:58,15.02,61.59,372.16,6831221.68,1458551.86,340.24,3.20,"3D",5,"Yes",3.60,3.64,20.00,2,"F"
179786,"02903","W0411","Kassika (2903)",1-8-2007 8:01:25,1-8-2007 9:01:25,15.00,61.59,362.94,6831806.95,1457636.40,330.98,4.80,"3D",4,"No",3.58,3.64,23.00,2,"F"
179787,"02903","W0411","Kassika (2903)",1-8-2007 8:30:41,1-8-2007 9:30:41,15.00,61.59,338.30,6831178.24,1457591.13,306.35,2.20,"3D",6,"Yes",3.58,3.64,26.00,2,"F"
179788,"02903","W0411","Kassika (2903)",1-8-2007 9:00:50,1-8-2007 10:00:50,15.01,61.58,354.43,6830597.75,1457931.64,322.50,2.00,"3D",6,"Yes",3.58,3.64,31.00,2,"F"
